dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,recall,cooccur_checksum,recommendation_checksum
large,fast-normalization-topN,openmp,openmp,8,10,50,dynamic,64,dynamic,16,1,14461.0,14461.0,14461.0,0.0,2786.0,2786.0,2786.0,0.0,3839.0,3839.0,3839.0,0.0,1561.0,1561.0,1561.0,0.0,8648.0,8648.0,8648.0,0.0,6632.0,6632.0,6632.0,0.0,1222.0,1222.0,1222.0,0.0,7.0,7.0,7.0,0.0,16495.0,16495.0,16495.0,0.0,31045.0,31045.0,31045.0,0.0,1.5806001818732949,0.19757502273416186,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.296935200991,13699575145743775109,6859278833209133928
large,fast-normalization-topN,serial,serial,1,10,50,none,64,none,16,1,15059.0,15059.0,15059.0,0.0,10667.0,10667.0,10667.0,0.0,0.0,0.0,0.0,0.0,1545.0,1545.0,1545.0,0.0,8469.0,8469.0,8469.0,0.0,6635.0,6635.0,6635.0,0.0,6936.0,6936.0,6936.0,0.0,0.0,0.0,0.0,0.0,26072.0,26072.0,26072.0,0.0,41131.0,41131.0,41131.0,0.0,1.0,1.0,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.296935200991,13699575145743775109,6859278833209133928
