dataset,max_neighbors,threads,graph_edge_entries,serial_algorithm_ms,parallel_algorithm_ms,parallel_recommend_ms,hit_rate,recall,within_profile_speedup,combined_speedup_vs_full_serial,hit_rate_delta,recall_delta
small,0,2,258142,49.0,33.0,5.0,0.8515625,0.286378848587,1.4848484848484849,1.4848484848484849,0.0,0.0
small,20,2,96666,32.0,38.0,6.0,0.8515625,0.288727264793,0.8421052631578947,1.2894736842105263,0.0,0.002348416205999959
