dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,recall,cooccur_checksum,recommendation_checksum
small,fast-normalization-full,openmp,openmp,2,10,0,dynamic,64,dynamic,16,1,18.0,18.0,18.0,0.0,9.0,9.0,9.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,51.0,51.0,51.0,0.0,1.4848484848484849,0.7424242424242424,258142,1352,200,1,1,483266,4492,0.8515625,0.286378848587,18436125889662285428,2830345476833032702
small,fast-normalization-full,serial,serial,1,10,0,none,64,none,16,1,8.0,8.0,8.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,0.0,57.0,57.0,57.0,0.0,1.0,1.0,258142,1352,200,1,1,483266,4492,0.8515625,0.286378848587,18436125889662285428,2830345476833032702
