dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,recall,cooccur_checksum,recommendation_checksum
large,fast-normalization-topN,openmp,openmp,8,10,20,dynamic,64,dynamic,16,1,14630.0,14630.0,14630.0,0.0,2732.0,2732.0,2732.0,0.0,3981.0,3981.0,3981.0,0.0,1564.0,1564.0,1564.0,0.0,8572.0,8572.0,8572.0,0.0,6542.0,6542.0,6542.0,0.0,587.0,587.0,587.0,0.0,10.0,10.0,10.0,0.0,15872.0,15872.0,15872.0,0.0,30575.0,30575.0,30575.0,0.0,1.4398941532258065,0.1799867691532258,991323,20,206209,0,1,52435370,2635,0.835499089239,0.293497320476,13699575145743775109,16409816309120631303
large,fast-normalization-topN,serial,serial,1,10,20,none,64,none,16,1,15609.0,15609.0,15609.0,0.0,10938.0,10938.0,10938.0,0.0,0.0,0.0,0.0,0.0,1535.0,1535.0,1535.0,0.0,8390.0,8390.0,8390.0,0.0,6570.0,6570.0,6570.0,0.0,3526.0,3526.0,3526.0,0.0,9.0,9.0,9.0,0.0,22854.0,22854.0,22854.0,0.0,38472.0,38472.0,38472.0,0.0,1.0,1.0,991323,20,206209,0,1,52435370,2635,0.835499089239,0.293497320476,13699575145743775109,16409816309120631303
