"run_id","timestamp","dataset","algorithm_profile","version","mode","threads","repeat","run","warmup","top_k","max_neighbors","popular_fallback","schedule","cooccur_schedule","cooccur_chunk","recommend_schedule","recommend_chunk","orders","prior_rows","train_rows","products","users","unique_pairs","pair_events","graph_edge_entries","max_degree","active_users","candidate_shortage_users","empty_candidate_users","total_candidates","max_candidates","load_ms","cooccur_compute_ms","merge_ms","normalization_ms","adjacency_ms","truncate_ms","recommend_ms","evaluate_ms","algorithm_ms","end_to_end_ms","hit_rate","recall","cooccur_checksum","recommendation_checksum","status"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:13.0382948+08:00","medium","fast-normalization-topN","serial","serial","1","1","1","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","346","273","0","79","452","357","128","0","853","1199","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:14.1674921+08:00","medium","fast-normalization-topN","openmp","openmp","8","1","1","0","10","20","0","guided","guided","64","guided","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","357","68","137","78","459","351","21","0","685","1060","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:15.4571375+08:00","medium","fast-normalization-topN","serial","serial","1","2","2","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","352","285","0","80","448","353","135","0","868","1220","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:16.5667570+08:00","medium","fast-normalization-topN","openmp","openmp","8","2","2","0","10","20","0","guided","guided","64","guided","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","368","62","162","99","455","334","21","0","700","1072","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:17.8576262+08:00","medium","fast-normalization-topN","serial","serial","1","3","3","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","348","297","0","116","481","340","133","0","911","1259","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204609-medium-fast-normalization-top20","2026-07-17T20:46:18.9606635+08:00","medium","fast-normalization-topN","openmp","openmp","8","3","3","0","10","20","0","guided","guided","64","guided","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","321","74","155","98","465","351","23","0","717","1042","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
