dataset,version,threads,schedule,runs,median_load_ms,median_cooccur_compute_ms,median_merge_ms,median_adjacency_ms,median_recommend_ms,median_algorithm_ms,median_end_to_end_ms,speedup,efficiency,hit_rate_at_10,recall_at_10,cooccur_checksum,recommendation_checksum
large,openmp,8,dynamic,1,18187.0,3521.0,4407.0,7110.0,184111.0,199149.0,217511.0,6.115787676563779,0.7644734595704724,0.843189110503,0.306467486678,13699575145743775109,3338591281313901940
large,serial,1,none,1,16933.0,14480.0,0.0,6865.0,1196608.0,1217953.0,1234896.0,1.0,1.0,0.843189110503,0.306467486678,13699575145743775109,3338591281313901940
