dataset,version,threads,schedule,runs,median_load_ms,median_cooccur_compute_ms,median_merge_ms,median_adjacency_ms,median_recommend_ms,median_algorithm_ms,median_end_to_end_ms,speedup,efficiency,hit_rate_at_10,recall_at_10,cooccur_checksum,recommendation_checksum
medium,openmp,8,static,1,380.0,66.0,170.0,388.0,1065.0,1689.0,2074.0,4.582001184132623,0.5727501480165779,0.8428125,0.31472267698,14472467716660838659,17408454852844037599
medium,serial,1,none,1,376.0,319.0,0.0,339.0,7081.0,7739.0,8115.0,1.0,1.0,0.8428125,0.31472267698,14472467716660838659,17408454852844037599
