"run_id","timestamp","dataset","algorithm_profile","version","mode","threads","repeat","run","warmup","top_k","max_neighbors","popular_fallback","schedule","cooccur_schedule","cooccur_chunk","recommend_schedule","recommend_chunk","orders","prior_rows","train_rows","products","users","unique_pairs","pair_events","graph_edge_entries","max_degree","active_users","candidate_shortage_users","empty_candidate_users","total_candidates","max_candidates","load_ms","cooccur_compute_ms","merge_ms","normalization_ms","adjacency_ms","truncate_ms","recommend_ms","evaluate_ms","algorithm_ms","end_to_end_ms","hit_rate","recall","cooccur_checksum","recommendation_checksum","status"
"20260717-204122-small-fast-normalization-full","2026-07-17T20:41:22.4212075+08:00","small","fast-normalization-full","serial","serial","1","1","1","0","10","0","0","none","none","64","none","16","2995","26575","1327","6170","201","129071","180902","258142","1352","200","1","1","483266","4492","29","10","0","6","18","0","24","0","52","81","0.8515625","0.286378848587","18436125889662285428","2830345476833032702","ok"
"20260717-204122-small-fast-normalization-full","2026-07-17T20:41:22.5342116+08:00","small","fast-normalization-full","openmp","openmp","1","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","2995","26575","1327","6170","201","129071","180902","258142","1352","200","1","1","483266","4492","27","5","4","4","14","0","24","0","47","74","0.8515625","0.286378848587","18436125889662285428","2830345476833032702","ok"
"20260717-204122-small-fast-normalization-full","2026-07-17T20:41:22.6014789+08:00","small","fast-normalization-full","openmp","openmp","2","1","1","0","10","0","0","dynamic","dynamic","64","dynamic","16","2995","26575","1327","6170","201","129071","180902","258142","1352","200","1","1","483266","4492","19","6","0","5","11","0","16","0","33","52","0.8515625","0.286378848587","18436125889662285428","2830345476833032702","ok"
