dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,merge_strategy,merge_buckets,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,median_cooccur_pipeline_ms,merge_fraction,cooccur_pipeline_fraction,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,cooccur_pipeline_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
large,fast-normalization-top50,openmp,openmp,16,10,50,dynamic,64,bucket-parallel,256,dynamic,16,3,14254.227,14217.282,14670.511,251.68559358917125,3069.49,2779.659,3294.469,258.08490046946434,400.106,399.43,407.793,4.645548299178476,164.931,162.098,166.697,2.320037571534847,1167.268,1166.265,1177.597,6.27307040717165,937.003,932.794,941.028,4.117342630062925,1631.946,1537.612,2323.216,428.9379833324781,54.339,53.607,54.93,0.6627510844955293,6503.443,6173.473,6677.935,256.193146020732,20921.427,20637.287,21554.263,469.40776997403805,3469.5959999999995,0.061522181404526796,0.5335014084078232,5.750826139323432,0.3594266337077145,5.750826139323432,0.3594266337077145,4.148110435284038,14.601380745467193,4.67163895128883,3.6697596780720296,,,0.11881393052491473,0.45571248740313214,48,16,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,24,10,50,dynamic,64,bucket-parallel,256,dynamic,16,3,14376.293,14235.544,15003.063,408.6025634733587,3413.808,3343.398,3414.581,40.876205625440946,335.731,334.795,345.294,5.810279195816082,138.351,135.733,138.984,1.723543539726611,852.257,841.864,870.271,14.372869662434583,632.426,629.648,654.192,13.440510754183896,1274.358,1152.839,1374.535,111.0190787702727,54.75,54.199,55.92,0.8788574021610881,5864.826,5782.985,5905.921,62.58328903948751,20497.726,20398.65,21039.716,345.0929416432622,3748.603,0.057244835567159195,0.6391669590879593,6.377029770363178,0.26570957376513243,6.377029770363178,0.26570957376513243,3.729730406630953,19.99833911601782,5.982512370935012,3.39662095452626,,,0.12015250430563612,0.45571248740313214,48,24,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,32,10,50,dynamic,64,bucket-parallel,256,dynamic,16,3,14297.472,14198.025,14698.179,264.7671396321683,3583.148,3209.395,3954.974,372.7899150383945,333.88,332.628,358.045,14.326773409715592,182.53,180.477,183.518,1.5512701247687313,831.312,827.201,847.479,10.71968200709954,571.281,570.712,589.301,10.571936766742455,1337.479,1286.658,1455.021,86.35681364161913,55.486,55.306,57.496,1.2157713600837976,6197.998,5661.244,6497.977,423.9131928131042,20663.339,20232.436,21494.428,641.4839734805013,3915.7760000000003,0.05386900737947963,0.6317807782448462,6.034233957481109,0.18856981117128466,6.034233957481109,0.18856981117128466,3.553462904686047,20.502199535192563,5.700173610202478,3.2516118133417233,,,0.13880889639219943,0.45571248740313214,48,32,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,48,10,50,dynamic,64,bucket-parallel,256,dynamic,16,3,14373.449,14238.178,14496.224,129.07341721025819,4487.119,3602.11,5262.322,830.7109912833705,428.451,424.871,432.051,3.5900046425225356,224.14,220.085,248.349,15.282737549274339,998.835,998.088,1021.729,13.43868871331329,694.897,684.622,695.797,6.208411632615911,954.891,892.381,1027.178,67.457568982287,55.194,54.465,55.894,0.7145490419371715,6944.437,5918.197,7667.393,878.969146401245,21663.774,20538.317,22132.632,819.3820438027278,4919.17,0.061697010139194874,0.7083612393632486,5.3856302533956315,0.11220063027907566,5.3856302533956315,0.11220063027907566,2.8375854306516057,17.063603598191893,7.984013358592762,2.5883601298593057,,,0.16835331713334628,0.45571248740313214,48,48,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,openmp,openmp,8,10,50,dynamic,64,bucket-parallel,256,dynamic,16,3,14574.308,14429.568,14792.184,182.53309400032995,3666.1,3629.542,3751.45,62.560198113496995,496.494,488.74,505.444,8.359133049146507,247.278,247.069,255.779,4.9694865932005525,2207.402,2200.169,2282.19,45.411095696242995,1861.217,1850.566,1923.163,39.20262560509604,2744.459,2642.64,2910.34,135.12149158072538,55.102,53.898,55.542,0.8510730481770237,9184.818,9012.636,9327.516,157.66989499584207,23797.502,23767.9,24304.497,301.62243197912096,4162.594,0.05405594318798697,0.45320375428233856,4.071955481317104,0.508994435164638,4.071955481317104,0.508994435164638,3.4730595182891904,7.721169275011983,2.7779108742378735,3.058809843093033,,,0.13780828880113186,0.45571248740313214,48,8,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
large,fast-normalization-top50,serial,serial,1,10,50,none,64,serial,0,none,16,2,14469.894,14441.366,14498.422,40.34468450738,12732.5835,12636.514,12828.653,135.8627898304028,0.0,0.0,0.0,0.0,1722.71,1672.643,1772.777,70.80543042733376,17043.7245,16899.398,17188.051,204.1084937098394,14743.421,14653.298,14833.544,127.45316888174987,7623.8625,7497.916,7749.809,178.11524843342303,53.55,52.921,54.179,0.8895403307326787,37400.17,37322.481,37477.859,109.86883744720124,51927.7085,51822.12,52033.297,149.32468873062874,12732.5835,0.0,0.34044186162790174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.45571248740313214,48,48,2449985,50,206209,0,1,105073213,4831,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928
