run_id,timestamp,dataset,algorithm_profile,version,mode,threads,repeat,run,warmup,top_k,max_neighbors,merge_buckets,popular_fallback,schedule,cooccur_schedule,cooccur_chunk,merge_strategy,recommend_schedule,recommend_chunk,proc_bind,places,runner_elapsed_ms,orders,prior_rows,train_rows,products,users,hardware_threads,omp_max_threads,unique_pairs,pair_events,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,load_ms,cooccur_compute_ms,merge_ms,normalization_ms,adjacency_ms,truncate_ms,recommend_ms,evaluate_ms,algorithm_ms,end_to_end_ms,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum,status
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:48:27.835439+08:00,large,fast-normalization-top50,serial,serial,1,1,1,0,10,50,0,0,none,none,64,serial,none,16,spread,cores,52409.15284305811,3421083,32434489,1384617,49685,206210,48,48,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14498.422,12828.653,0.0,1672.643,16899.398,14653.298,7749.809,52.921,37477.859,52033.297,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:49:20.034944+08:00,large,fast-normalization-top50,serial,serial,1,2,2,0,10,50,0,0,none,none,64,serial,none,16,spread,cores,52199.37054719776,3421083,32434489,1384617,49685,206210,48,48,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14441.366,12636.514,0.0,1772.777,17188.051,14833.544,7497.916,54.179,37322.481,51822.12,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:49:41.762051+08:00,large,fast-normalization-top50,openmp,openmp,32,1,1,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,21726.93791380152,3421083,32434489,1384617,49685,206210,48,32,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14198.025,3583.148,332.628,180.477,827.201,571.281,1455.021,55.306,6197.998,20663.339,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:50:04.913304+08:00,large,fast-normalization-top50,openmp,openmp,48,1,1,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,23151.124332100153,3421083,32434489,1384617,49685,206210,48,48,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14238.178,5262.322,428.451,224.14,1021.729,695.797,954.891,55.894,7667.393,22132.632,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:50:26.396328+08:00,large,fast-normalization-top50,openmp,openmp,16,1,1,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,21482.89772402495,3421083,32434489,1384617,49685,206210,48,16,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14254.227,3069.49,400.106,164.931,1166.265,932.794,1537.612,53.607,6173.473,20637.287,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:50:50.933316+08:00,large,fast-normalization-top50,openmp,openmp,8,1,1,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,24536.850307136774,3421083,32434489,1384617,49685,206210,48,8,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14429.568,3751.45,488.74,247.278,2200.169,1850.566,2744.459,55.102,9184.818,23797.502,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:51:12.425068+08:00,large,fast-normalization-top50,openmp,openmp,24,1,1,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,21491.62773322314,3421083,32434489,1384617,49685,206210,48,24,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14376.293,3413.808,334.795,138.351,841.864,632.426,1274.358,54.199,5864.826,20497.726,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:51:33.624966+08:00,large,fast-normalization-top50,openmp,openmp,32,2,2,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,21199.752734042704,3421083,32434489,1384617,49685,206210,48,32,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14297.472,3209.395,333.88,183.518,831.312,570.712,1286.658,55.486,5661.244,20232.436,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:51:55.430976+08:00,large,fast-normalization-top50,openmp,openmp,16,2,2,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,21805.88333401829,3421083,32434489,1384617,49685,206210,48,16,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14217.282,3294.469,399.43,166.697,1177.597,941.028,1631.946,54.93,6503.443,20921.427,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
20260718-214451118-large-fast-normalization-top50-mb256,2026-07-18T21:52:18.099772+08:00,large,fast-normalization-top50,openmp,openmp,48,2,2,0,10,50,256,0,dynamic,dynamic,64,bucket-parallel,dynamic,16,spread,cores,22668.666588142514,3421083,32434489,1384617,49685,206210,48,48,40749010,238428378,2449985,50,206209,0,1,105073213,4831,14496.224,4487.119,432.051,248.349,998.088,684.622,1027.178,55.194,6944.437,21663.774,0.83697764635,0.247121005419,0.296935200991,0.232622928552,0.365894573589,0.597135213939,0.247121005419,0.234176671238,13699575145743775109,6859278833209133928,ok
