dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,recall,cooccur_checksum,recommendation_checksum
medium,fast-normalization-top50,openmp,openmp,1,10,50,dynamic,64,dynamic,16,3,319.0,317.0,322.0,2.516611478423583,264.0,247.0,270.0,11.930353445448853,37.0,34.0,53.0,10.214368964029708,80.0,79.0,80.0,0.5773502691896257,450.0,449.0,466.0,9.539392014169456,354.0,350.0,355.0,2.6457513110645907,247.0,234.0,249.0,8.144527815247077,0.0,0.0,0.0,0.0,998.0,985.0,1017.0,16.09347693943108,1320.0,1317.0,1336.0,10.214368964029708,0.9579158316633266,0.9579158316633266,1052186,50,5000,0,1,4794337,4955,0.84125,0.308845818812,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,2,10,50,dynamic,64,dynamic,16,3,321.0,318.0,326.0,4.041451884327381,196.0,178.0,199.0,11.357816691600547,56.0,50.0,64.0,7.023769168568492,79.0,73.0,97.0,12.489995996796797,482.0,474.0,483.0,4.932882862316247,354.0,352.0,372.0,11.015141094572204,130.0,125.0,132.0,3.605551275463989,0.0,0.0,0.0,0.0,862.0,841.0,866.0,13.428824718989125,1184.0,1167.0,1184.0,9.814954576223638,1.1090487238979119,0.5545243619489559,1052186,50,5000,0,1,4794337,4955,0.84125,0.308845818812,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,4,10,50,dynamic,64,dynamic,16,3,333.0,310.0,338.0,14.933184523068078,98.0,94.0,104.0,5.033222956847166,96.0,93.0,101.0,4.041451884327381,80.0,71.0,95.0,12.12435565298214,476.0,472.0,478.0,3.0550504633038935,365.0,351.0,372.0,10.692676621563626,85.0,74.0,87.0,7.0,0.0,0.0,0.0,0.0,751.0,751.0,756.0,2.8867513459481287,1089.0,1082.0,1090.0,4.358898943540674,1.2729693741677763,0.3182423435419441,1052186,50,5000,0,1,4794337,4955,0.84125,0.308845818812,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,openmp,openmp,8,10,50,dynamic,64,dynamic,16,3,323.0,317.0,359.0,22.715633383201094,65.0,63.0,73.0,5.291502622129181,139.0,136.0,146.0,5.131601439446884,80.0,72.0,100.0,14.422205101855956,475.0,471.0,483.0,6.110100926607787,364.0,350.0,369.0,9.848857801796104,43.0,41.0,58.0,9.29157324317757,0.0,0.0,0.0,0.0,730.0,725.0,738.0,6.557438524302,1058.0,1053.0,1097.0,24.090108620206205,1.3095890410958904,0.1636986301369863,1052186,50,5000,0,1,4794337,4955,0.84125,0.308845818812,14472467716660838659,10638739464929963357
medium,fast-normalization-top50,serial,serial,1,10,50,none,64,none,16,3,319.0,316.0,321.0,2.516611478423583,262.0,261.0,270.0,4.932882862316247,0.0,0.0,0.0,0.0,75.0,68.0,83.0,7.505553499465135,454.0,450.0,456.0,3.0550504633038935,359.0,358.0,365.0,3.7859388972001824,236.0,235.0,245.0,5.507570547286102,0.0,0.0,8.0,4.618802153517006,956.0,951.0,962.0,5.507570547286102,1281.0,1280.0,1287.0,3.7859388972001824,1.0,1.0,1052186,50,5000,0,1,4794337,4955,0.84125,0.308845818812,14472467716660838659,10638739464929963357
