"run_id","timestamp","dataset","algorithm_profile","version","mode","threads","repeat","run","warmup","top_k","max_neighbors","popular_fallback","schedule","cooccur_schedule","cooccur_chunk","recommend_schedule","recommend_chunk","orders","prior_rows","train_rows","products","users","unique_pairs","pair_events","graph_edge_entries","max_degree","active_users","candidate_shortage_users","empty_candidate_users","total_candidates","max_candidates","load_ms","cooccur_compute_ms","merge_ms","normalization_ms","adjacency_ms","truncate_ms","recommend_ms","evaluate_ms","algorithm_ms","end_to_end_ms","hit_rate","recall","cooccur_checksum","recommendation_checksum","status"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:48.5311661+08:00","medium","fast-normalization-topN","serial","serial","1","1","1","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","349","281","0","80","442","347","138","0","861","1210","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:49.6776600+08:00","medium","fast-normalization-topN","openmp","openmp","8","1","1","0","10","20","0","static","static","64","static","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","374","72","155","91","462","339","21","0","710","1099","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:50.9410810+08:00","medium","fast-normalization-topN","serial","serial","1","2","2","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","349","282","0","86","441","340","123","0","846","1195","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:52.1000796+08:00","medium","fast-normalization-topN","openmp","openmp","8","2","2","0","10","20","0","static","static","64","static","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","357","77","166","112","472","335","32","0","747","1108","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:53.3924929+08:00","medium","fast-normalization-topN","serial","serial","1","3","3","0","10","20","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","351","307","0","78","460","365","133","0","900","1251","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
"20260717-204544-medium-fast-normalization-top20","2026-07-17T20:45:54.4849485+08:00","medium","fast-normalization-topN","openmp","openmp","8","3","3","0","10","20","0","static","static","64","static","16","81832","761750","33782","29330","5001","2612645","5535466","512879","20","5000","0","1","2199930","2746","333","63","159","87","450","326","34","0","706","1049","0.8403125","0.30534367814","14472467716660838659","12366360528550456351","ok"
