"run_id","timestamp","dataset","algorithm_profile","version","mode","threads","repeat","run","warmup","top_k","max_neighbors","popular_fallback","schedule","cooccur_schedule","cooccur_chunk","recommend_schedule","recommend_chunk","orders","prior_rows","train_rows","products","users","unique_pairs","pair_events","graph_edge_entries","max_degree","active_users","candidate_shortage_users","empty_candidate_users","total_candidates","max_candidates","load_ms","cooccur_compute_ms","merge_ms","normalization_ms","adjacency_ms","truncate_ms","recommend_ms","evaluate_ms","algorithm_ms","end_to_end_ms","hit_rate","recall","cooccur_checksum","recommendation_checksum","status"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:17.3927184+08:00","medium","fast-normalization-topN","serial","serial","1","1","1","0","10","100","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","357","291","0","80","500","389","454","0","1245","1602","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:18.6163554+08:00","medium","fast-normalization-topN","openmp","openmp","8","1","1","0","10","100","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","329","64","168","90","507","388","87","0","826","1159","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:20.2157804+08:00","medium","fast-normalization-topN","serial","serial","1","2","2","0","10","100","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","330","283","0","82","486","384","455","0","1224","1554","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:21.4921970+08:00","medium","fast-normalization-topN","openmp","openmp","8","2","2","0","10","100","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","397","68","154","100","528","381","84","0","834","1231","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:23.0794827+08:00","medium","fast-normalization-topN","serial","serial","1","3","3","0","10","100","0","none","none","64","none","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","363","273","0","80","499","401","418","0","1190","1553","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
"20260717-204412-medium-fast-normalization-top100","2026-07-17T20:44:24.2418146+08:00","medium","fast-normalization-topN","openmp","openmp","8","3","3","0","10","100","0","dynamic","dynamic","64","dynamic","16","81832","761750","33782","29330","5001","2612645","5535466","1661206","100","5000","0","1","8515560","7518","332","65","143","89","498","371","91","0","797","1129","0.8396875","0.310919533357","14472467716660838659","5500258205964588772","ok"
