dataset,algorithm_profile,version,mode,threads,top_k,max_neighbors,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runs,median_load_ms,min_load_ms,max_load_ms,stdev_load_ms,median_cooccur_compute_ms,min_cooccur_compute_ms,max_cooccur_compute_ms,stdev_cooccur_compute_ms,median_merge_ms,min_merge_ms,max_merge_ms,stdev_merge_ms,median_normalization_ms,min_normalization_ms,max_normalization_ms,stdev_normalization_ms,median_adjacency_ms,min_adjacency_ms,max_adjacency_ms,stdev_adjacency_ms,median_truncate_ms,min_truncate_ms,max_truncate_ms,stdev_truncate_ms,median_recommend_ms,min_recommend_ms,max_recommend_ms,stdev_recommend_ms,median_evaluate_ms,min_evaluate_ms,max_evaluate_ms,stdev_evaluate_ms,median_algorithm_ms,min_algorithm_ms,max_algorithm_ms,stdev_algorithm_ms,median_end_to_end_ms,min_end_to_end_ms,max_end_to_end_ms,stdev_end_to_end_ms,speedup,efficiency,speedup_vs_serial,efficiency_vs_serial,cooccur_compute_speedup_vs_serial,adjacency_speedup_vs_serial,recommend_speedup_vs_serial,speedup_vs_openmp1,efficiency_vs_openmp1,karp_flatt,serial_adjacency_fraction,hardware_threads,omp_max_threads,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum
small,fast-normalization-top50,openmp,openmp,1,10,50,dynamic,64,dynamic,16,1,39.0,39.0,39.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,39.0,39.0,39.0,0.0,23.0,23.0,23.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,0.0,111.0,111.0,111.0,0.0,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9027777777777778,1.8888888888888888,0.7692307692307693,0.75,1.0,1.0,,0.46153846153846156,16,1,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,2,10,50,dynamic,64,dynamic,16,1,35.0,35.0,35.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,47.0,47.0,47.0,0.0,32.0,32.0,32.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,0.0,100.0,100.0,100.0,0.0,1.0,0.5,1.0,0.5,1.4166666666666667,0.6382978723404256,3.0,1.1076923076923078,0.5538461538461539,1.0,0.46153846153846156,16,2,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,openmp,openmp,4,10,50,dynamic,64,dynamic,16,1,56.0,56.0,56.0,0.0,7.0,7.0,7.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0,0.0,36.0,36.0,36.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,61.0,0.0,117.0,117.0,117.0,0.0,1.0655737704918034,0.26639344262295084,1.0655737704918034,0.26639344262295084,2.4285714285714284,0.7317073170731707,4.5,1.180327868852459,0.29508196721311475,0.9179487179487178,0.46153846153846156,16,4,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
small,fast-normalization-top50,serial,serial,1,10,50,none,64,none,16,1,40.0,40.0,40.0,0.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,28.0,28.0,28.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,0.0,105.0,105.0,105.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.46153846153846156,16,16,163199,50,200,1,1,150905,1985,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852
