run_id,timestamp,dataset,algorithm_profile,version,mode,threads,repeat,run,warmup,top_k,max_neighbors,popular_fallback,schedule,cooccur_schedule,cooccur_chunk,recommend_schedule,recommend_chunk,runner_elapsed_ms,orders,prior_rows,train_rows,products,users,hardware_threads,omp_max_threads,unique_pairs,pair_events,graph_edge_entries,max_degree,active_users,candidate_shortage_users,empty_candidate_users,total_candidates,max_candidates,load_ms,cooccur_compute_ms,merge_ms,normalization_ms,adjacency_ms,truncate_ms,recommend_ms,evaluate_ms,algorithm_ms,end_to_end_ms,hit_rate,precision,recall,f1,ndcg,mrr,micro_precision,micro_recall,cooccur_checksum,recommendation_checksum,status
20260718-004716682-small-fast-normalization-top50,2026-07-18T00:47:17.062830+08:00,small,fast-normalization-top50,serial,serial,1,1,1,0,10,50,0,none,none,64,none,16,361.10399998142384,2995,26575,1327,6170,201,16,16,129071,180902,163199,50,200,1,1,150905,1985,36.0,17.0,0.0,9.0,31.0,16.0,24.0,0.0,72.0,108.0,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852,ok
20260718-004716682-small-fast-normalization-top50,2026-07-18T00:47:17.208751+08:00,small,fast-normalization-top50,openmp,openmp,4,1,1,0,10,50,0,dynamic,dynamic,64,dynamic,16,133.77879999461584,2995,26575,1327,6170,201,16,4,129071,180902,163199,50,200,1,1,150905,1985,38.0,5.0,12.0,9.0,35.0,24.0,11.0,0.0,63.0,104.0,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852,ok
20260718-004716682-small-fast-normalization-top50,2026-07-18T00:47:17.348562+08:00,small,fast-normalization-top50,openmp,openmp,1,1,1,0,10,50,0,dynamic,dynamic,64,dynamic,16,140.47829998889938,2995,26575,1327,6170,201,16,1,129071,180902,163199,50,200,1,1,150905,1985,38.0,5.0,13.0,0.0,37.0,34.0,13.0,0.0,68.0,106.0,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852,ok
20260718-004716682-small-fast-normalization-top50,2026-07-18T00:47:17.484303+08:00,small,fast-normalization-top50,openmp,openmp,2,1,1,0,10,50,0,dynamic,dynamic,64,dynamic,16,133.97960001020692,2995,26575,1327,6170,201,16,2,129071,180902,163199,50,200,1,1,150905,1985,49.0,7.0,5.0,4.0,37.0,30.0,0.0,0.0,49.0,98.0,0.84375,0.26328125,0.29056230148,0.243906905937,0.354670307241,0.563126240079,0.258064516129,0.247174076865,18436125889662285428,2935700278542294852,ok
